input_street,input_city,input_county,input_state,most_sim_street,sim_score,mostsimstreet_id,highway,lanes,oneway
Wheatland Ave,Sylmar,Los Angeles,CA,Wheatland Avenue,90,368173597,unclassified,2,Not_Present_Value
Finley Rd,Downers Grove,DuPage,IL,Finley Road,90,435570440,secondary,2,yes
Esters Rd,Irving,Dallas,TX,Esters Road,90,419478068,secondary,4,yes
Glades Rd,Boca Raton,Palm Beach,FL,Glades Road,90,1026652335,primary,3,yes
Barton Rd,Grand Terrace,San Bernardino,CA,Barton Road,90,1247331448,primary,3,yes
Goshen Industrial Blvd,Augusta,Richmond,GA,Goshen Industrial Boulevard,90,9448127,residential,2,Not_Present_Value
Highway 160 W,Fort Mill,York,SC,Highway 160 West,90,943626309,primary,Not_Present_Value,yes
School Ln,Norristown,Montgomery,PA,School Lane,90,12385803,residential,Not_Present_Value,Not_Present_Value
Midway Rd,Dixon,Solano,CA,Midway Road,90,33078005,tertiary,Not_Present_Value,Not_Present_Value
Tri-State Tlwy,Lake Forest,Lake,IL,Tri-State Tollway,90,992630757,motorway,4,yes
Monticello Ave,Dallas,Dallas,TX,Monticello Avenue,90,564716411,tertiary,Not_Present_Value,yes
Conway Rd,Orlando,Orange,FL,Conway Road,90,1055612377,secondary,2,yes
Mureau Rd,Calabasas,Los Angeles,CA,Mureau Road,90,177761491,tertiary,Not_Present_Value,Not_Present_Value
Culver Rd,Rochester,Monroe,NY,Culver Road,90,139750550,primary,4,Not_Present_Value
Kingsridge Dr,Dayton,Montgomery,OH,Kingsridge Drive,90,655127365,residential,Not_Present_Value,Not_Present_Value
Marvin Rd,Charlotte,Mecklenburg,NC,Marvin Road,90,1239338801,tertiary,4,Not_Present_Value
Sorensen Pkwy,Omaha,Douglas,NE,Sorensen Parkway,90,1103852635,primary,2,yes
Cleveland Ave,Kansas City,Jackson,MO,Cleveland Avenue,90,37539073,secondary,Not_Present_Value,Not_Present_Value
Amsterdam Ave,New York,New York,NY,Amsterdam Avenue,90,945384093,secondary,Not_Present_Value,Not_Present_Value
Charles Lindbergh Blvd,Garden City,Nassau,NY,Charles Lindbergh Boulevard,90,466707152,footway,Not_Present_Value,Not_Present_Value
Pendleton Ave,Anderson,Madison,IN,Pendleton Avenue,90,17437592,primary,2,yes
Bessie Rd,Piedmont,Greenville,SC,Bessie Road,90,12433205,secondary,2,Not_Present_Value
Roosevelt Ave,San Antonio,Bexar,TX,Roosevelt Avenue,90,772549005,primary,6,yes
Willms Rd,Oakdale,Stanislaus,CA,Willms Road,90,932815475,tertiary,2,no
Downeymeade Dr,Nashville,Davidson,TN,Downeymeade Drive,90,337133118,residential,Not_Present_Value,Not_Present_Value
Woodridge Ave,Baton Rouge,East Baton Rouge,LA,Woodridge Avenue,90,296090677,residential,Not_Present_Value,Not_Present_Value
Easley Rd,Greenville,Anderson,SC,Easley Road,90,12113876,residential,Not_Present_Value,Not_Present_Value
Alexander Hamilton Brg E,Bronx,Bronx,NY,Alexander Hamilton Bridge,90,121787381,motorway,3,yes
Seneca Rd,Morris,Grundy,IL,Seneca Road,90,80670000,tertiary,Not_Present_Value,Not_Present_Value
W Garden of the Gods Rd,Colorado Springs,El Paso,CO,West Garden of the Gods Road,90,843894628,secondary,3,yes
State Park Dr,Aptos,Santa Cruz,CA,State Park Drive,90,30641111,secondary,Not_Present_Value,Not_Present_Value
Howard Rd,Patterson,Stanislaus,CA,Howard Road,90,10605409,secondary,Not_Present_Value,Not_Present_Value
Randy Pap� Beltline E,Eugene,Lane,OR,Randy Papé Beltline,90,47472653,motorway,2,yes
Henderson Cir,Charlotte,Mecklenburg,NC,Henderson Circle,90,16716084,residential,Not_Present_Value,Not_Present_Value
Sharon Ln,Charlotte,Mecklenburg,NC,Sharon Lane,90,1061369706,secondary,Not_Present_Value,yes
Sardis Rd,Charlotte,Mecklenburg,NC,Sardis Road,90,1169515479,secondary,5,yes
Sunset Rd,Lehigh Acres,Lee,FL,Sunset Road,90,11034346,residential,Not_Present_Value,Not_Present_Value
President George Bush Tpke E,Dallas,Denton,TX,President George Bush Turnpike,90,848284609,motorway,4,yes
Bailey Rd,Bay Point,Contra Costa,CA,Bailey Road,90,394092766,secondary,3,yes
Gentry Memorial Hwy,Easley,Pickens,SC,Gentry Memorial Highway,90,752137548,secondary,5,Not_Present_Value
Ladson Rd,Ladson,Dorchester,SC,Ladson Road,90,503779361,secondary,Not_Present_Value,Not_Present_Value
Lemont Rd,Darien,DuPage,IL,Lemont Road,90,552545012,secondary,4,no
Beamer Rd,Houston,Harris,TX,Beamer Road,90,423476737,secondary,3,yes
Westborough Dr,Raleigh,Wake,NC,Westborough Drive,90,18909222,tertiary,2,Not_Present_Value
Street Rd,Bensalem,Bucks,PA,Street Road,90,43017984,primary,3,yes
Greensboro Ave,Tuscaloosa,Tuscaloosa,AL,Greensboro Avenue,90,1221230939,secondary,5,yes
Alexander Hamilton Brg E,New York,New York,NY,Alexander Hamilton Bridge,90,49036327,motorway,4,yes
Kramer Ln,Austin,Travis,TX,Kramer Lane,90,1096335374,tertiary,Not_Present_Value,Not_Present_Value
Valley Rd,Reno,Washoe,NV,Valley Road,90,454418830,tertiary,3,Not_Present_Value
Greenbriar Dr,Houston,Harris,TX,Greenbriar Drive,90,908250579,secondary,4,no
Inglewood Ave,Redondo Beach,Los Angeles,CA,Inglewood Avenue,90,168385032,secondary,5,Not_Present_Value
Homestead Ave,Miami,Miami-Dade,FL,Homestead Avenue,90,83127307,tertiary,2,Not_Present_Value
Cleveland Ave,Columbus,Franklin,OH,Cleveland Avenue,90,1043673617,primary,Not_Present_Value,yes
California Ave,Salt Lake City,Salt Lake,UT,California Avenue,90,1224970613,secondary,2,yes
Frontenac Ave,Charlotte,Mecklenburg,NC,Frontenac Avenue,90,16683970,residential,Not_Present_Value,Not_Present_Value
Tri-State Tlwy,Bridgeview,Cook,IL,Tri-State Tollway,90,992235175,motorway,4,yes
Wells Mill Rd,Waretown,Ocean,NJ,Wells Mills Road,90,32060765,secondary,Not_Present_Value,Not_Present_Value
Joplin Rd,Triangle,Prince William,VA,Joplin Road,90,1053188100,primary,2,yes
Lake Andrew Dr,Melbourne,Brevard,FL,Lake Andrew Drive,90,67524257,tertiary,2,yes
Ecorse Rd,Wayne,Wayne,MI,Ecorse Road,90,25793628,secondary,4,Not_Present_Value
Pittsburg Ave,Richmond,Contra Costa,CA,Pittsburg Avenue,90,574403122,residential,Not_Present_Value,Not_Present_Value
Bailey Rd,Pittsburg,Contra Costa,CA,Bailey Road,90,933830418,secondary,5,yes
Monroe Ln,Lexington,Lexington,SC,Monroe Lane,90,12490611,residential,Not_Present_Value,Not_Present_Value
Fairfield Ave,Nashville,Davidson,TN,Fairfield Avenue,90,220488132,tertiary,Not_Present_Value,Not_Present_Value
Turner Rd,Richmond,Chesterfield,VA,Turner Road,90,1086670322,secondary,4,Not_Present_Value
Common Oaks Dr,Raleigh,Wake,NC,Common Oaks Drive,90,737142083,tertiary,Not_Present_Value,yes
Copper Hill Dr,Santa Clarita,Los Angeles,CA,Copper Hill Drive,90,1078797756,secondary,4,yes
Maddry Oaks Ct,Raleigh,Wake,NC,Maddry Oaks Court,90,116236606,residential,Not_Present_Value,Not_Present_Value
Porter Rd,Rock Hill,York,SC,Porter Road,90,172620832,tertiary,2,yes
Innisbrook Dr,Palm Harbor,Pinellas,FL,Innisbrook Drive,90,161002617,tertiary,1,yes
Crenshaw Blvd,Los Angeles,Los Angeles,CA,Crenshaw Blvd OC,90,1098483261,primary,4,yes
Northcross Dr,Huntersville,Mecklenburg,NC,Northcross Drive,90,840377800,tertiary,4,no
Veterans Pkwy,Hyattsville,Prince George's,MD,Veterans Parkway,90,535561703,primary,2,yes
President George Bush Tpke E,Dallas,Collin,TX,President George Bush Turnpike,90,280541150,motorway,4,yes
N Econlockhatchee Trl,Orlando,Orange,FL,Econlockhatchee Trail,90,363641654,tertiary,2,yes
Mathis Rd,Greenwood,Greenwood,SC,Mathis Road,90,12409271,residential,Not_Present_Value,Not_Present_Value
Queen City Dr,Charlotte,Mecklenburg,NC,Queen City Drive,90,16696829,tertiary,Not_Present_Value,Not_Present_Value
Greenfield Brg,Pittsburgh,Allegheny,PA,Greenfield Bridge,90,388306498,secondary,3,no
Lovett Rd,Baton Rouge,East Baton Rouge,LA,Lovett Road,90,761429562,tertiary,Not_Present_Value,Not_Present_Value
Livernois Ave,Detroit,Wayne,MI,Livernois Avenue,90,687188775,secondary,5,Not_Present_Value
Walzem Rd,San Antonio,Bexar,TX,Walzem Road,90,241573903,secondary,3,yes
Willow Rd,Menlo Park,San Mateo,CA,Willow Road,90,30908192,primary,4,yes
Lemont Rd,Downers Grove,DuPage,IL,Lemont Road,90,1075239960,secondary,5,yes
Rumple Rd,Charlotte,Mecklenburg,NC,Rumple Road,90,16693815,tertiary,Not_Present_Value,Not_Present_Value
Copley Rd,Akron,Summit,OH,Copley Road,90,652525073,secondary,Not_Present_Value,Not_Present_Value
Barnes Rd,Colorado Springs,El Paso,CO,Barnes Road,90,223369742,secondary,Not_Present_Value,yes
W Avenue 26,Los Angeles,Los Angeles,CA,Avenue 26,90,32504692,primary,4,Not_Present_Value
Bingle Rd,Houston,Harris,TX,Bingle Road,90,422707245,primary,3,yes
Coley Davis Ct,Nashville,Davidson,TN,Coley Davis Court,90,950077346,residential,Not_Present_Value,yes
Gerber Rd,Sacramento,Sacramento,CA,Gerber Road,90,1062875600,tertiary,5,yes
Jensen Rd,Moss Landing,Monterey,CA,Jensen Road,90,1267296350,unclassified,Not_Present_Value,Not_Present_Value
Beulah Rd,North Chesterfield,Chesterfield,VA,Beulah Road,90,758300246,secondary,Not_Present_Value,no
Washington Ave,New Orleans,Orleans,LA,Washington Avenue,90,1123617830,tertiary,2,yes
Suitland Pkwy,Suitland,Prince George's,MD,Suitland Parkway,90,37805556,primary,2,yes
Beneva Rd,Sarasota,Sarasota,FL,Beneva Road,90,786081897,secondary,2,yes
Truxel Rd,Sacramento,Sacramento,CA,Truxel Road,90,31961991,secondary,4,yes
Cherry Ln,Walnut Creek,Contra Costa,CA,Cherry Lane,90,650767665,tertiary,Not_Present_Value,Not_Present_Value
Bricksome Ave,Baton Rouge,East Baton Rouge,LA,Bricksome Avenue,90,12630511,residential,Not_Present_Value,Not_Present_Value
San Antonio Dr,Norwalk,Los Angeles,CA,San Antonio Drive,90,287411947,secondary,5,yes
Worley Rd,Greenville,Greenville,SC,Worley Road,90,1164020161,residential,Not_Present_Value,Not_Present_Value
Reservoir Ave,Cranston,Providence,RI,Reservoir Avenue,90,94215673,primary,Not_Present_Value,Not_Present_Value
Auto Centre Dr,Glendora,Los Angeles,CA,Auto Centre Drive,90,1042571197,tertiary,2,yes
Little Rd,New Port Richey,Pasco,FL,Little Road,90,1083986618,primary,2,yes
President George Bush Tpke S,Carrollton,Dallas,TX,President George Bush Turnpike,90,28740511,motorway,3,yes
Lancaster Ave,Malvern,Chester,PA,Lancaster Avenue,90,898329529,primary,3,yes
Cedarhurst Dr,Raleigh,Wake,NC,Cedarhurst Drive,90,18904680,residential,Not_Present_Value,Not_Present_Value
Turner Rd,Dayton,Montgomery,OH,Turner Road,90,108852321,primary,Not_Present_Value,yes
Steele Ln,Santa Rosa,Sonoma,CA,Steele Lane,90,942096332,secondary,4,yes
Thomas Rd,Warrior,Blount,AL,Thomas Road,90,6252206,residential,Not_Present_Value,Not_Present_Value
Stonehollow Dr,Austin,Travis,TX,Stonehollow Drive,90,1032516435,unclassified,3,yes
Pelham Rd,Greer,Greenville,SC,Pelham Road,90,347675307,secondary,5,Not_Present_Value
Birch Ridge Dr,Raleigh,Wake,NC,Birch Ridge Drive,90,18895047,residential,Not_Present_Value,Not_Present_Value
Houser Way Byp,Renton,King,WA,Houser Way Bypass,90,82659937,tertiary,2,Not_Present_Value
Peters Rd,Fort Lauderdale,Broward,FL,Peters Road,90,247783564,secondary,2,yes
Kyngs Heath Rd,Kissimmee,Osceola,FL,Kyng's Heath Road,90,209318714,residential,Not_Present_Value,Not_Present_Value
Mangum Rd,Houston,Harris,TX,Mangum Road,90,1053944094,secondary,4,yes
Louisiana Ave,New Orleans,Orleans,LA,Louisiana Avenue,90,595262111,tertiary,2,yes
Willow Bend Dr,Austin,Travis,TX,Willow Bend Drive,90,15409489,residential,Not_Present_Value,Not_Present_Value
Sharon Rd,Charlotte,Mecklenburg,NC,Sharon Road,90,1055076426,secondary,Not_Present_Value,yes
Seven Lakes Dr,Sloatsburg,Rockland,NY,Seven Lakes Drive,90,1097035628,tertiary,Not_Present_Value,Not_Present_Value
Mamaroneck Ave,Mamaroneck,Westchester,NY,Mamaroneck Avenue,90,1121428270,primary,Not_Present_Value,no
Dryden Rd,Dayton,Montgomery,OH,Dryden Road,90,856188585,secondary,Not_Present_Value,Not_Present_Value
Industrial Ave,Rocklin,Placer,CA,Industrial Avenue,90,858369114,secondary,4,Not_Present_Value
Weyerhaeuser Way S,Auburn,King,WA,Weyerhaeuser Way South,90,23744160,tertiary,5,Not_Present_Value
Justin Ln,Austin,Travis,TX,Justin Lane,90,1148227849,tertiary,3,Not_Present_Value
Miller Rd,Greenville,Greenville,SC,Miller Road,90,941142531,tertiary,4,Not_Present_Value
Bloomfield Ave,Windsor,Hartford,CT,Bloomfield Avenue,90,1267001056,secondary,Not_Present_Value,yes
Rankin Rd,Houston,Harris,TX,Rankin Road,90,1040764763,secondary,4,yes
One Mile Pkwy,Madison,Davidson,TN,One Mile Parkway,90,19470826,unclassified,Not_Present_Value,Not_Present_Value
Communipaw Ave,Jersey City,Hudson,NJ,Communipaw Avenue,90,780107538,primary,2,yes
Conference Dr,Charlotte,Mecklenburg,NC,Conference Drive,90,1256416990,secondary,2,yes
Springfield Dr,Roselle,DuPage,IL,Springfield Drive,90,767452822,residential,Not_Present_Value,Not_Present_Value
Phelan Rd,Phelan,San Bernardino,CA,Phelan Road,90,7352386,secondary,Not_Present_Value,Not_Present_Value
Bloomfield Ave,Cerritos,Los Angeles,CA,Bloomfield Avenue,90,400809412,secondary,2,yes
Shelly Rd,Harleysville,Montgomery,PA,Shelly Road,90,12337435,residential,Not_Present_Value,Not_Present_Value
S State Highway 161,Grand Prairie,Dallas,TX,South State Highway 161,90,503284010,secondary,Not_Present_Value,yes
Angeles Forest Hwy,Palmdale,Los Angeles,CA,Angeles Forest Highway,90,203017582,primary,Not_Present_Value,Not_Present_Value
Lake Park Ave,Oakland,Alameda,CA,Lake Park Avenue,90,41168621,secondary,Not_Present_Value,Not_Present_Value
Easton Rd,Willow Grove,Montgomery,PA,Easton Road,90,423932188,primary,2,yes
Custis Rd,Richmond,Richmond City,VA,Custis Road,90,1013219965,residential,Not_Present_Value,Not_Present_Value
Beachside Ave,Westport,Fairfield,CT,Beachside Avenue,90,661060312,residential,Not_Present_Value,yes
Eisenhower Dr,Dallas,Dallas,TX,Eisenhower Drive,90,9968951,residential,Not_Present_Value,Not_Present_Value
Crittenden Dr,Louisville,Jefferson,KY,Crittenden Drive,90,522110805,primary,6,no
Ravenscroft Dr,Raleigh,Wake,NC,Ravenscroft Drive,90,391472351,residential,Not_Present_Value,Not_Present_Value
Eureka Rd,Taylor,Wayne,MI,Eureka Road,90,153482202,secondary,3,yes
Almeda Rd,Houston,Harris,TX,Almeda Road,90,1061000773,primary,5,Not_Present_Value
Moorehead Ave,Conshohocken,Montgomery,PA,Moorehead Avenue,90,12372321,residential,2,no
Six Flags Pkwy,Austell,Cobb,GA,Six Flags Parkway,90,884612084,secondary,3,yes
Ashley Rd,Charlotte,Mecklenburg,NC,Ashley Road,90,648248417,tertiary,Not_Present_Value,Not_Present_Value
Gender Rd,Canal Winchester,Franklin,OH,Gender Road,90,740977627,primary,2,yes
Eastchase Pkwy,Montgomery,Montgomery,AL,Eastchase Parkway,90,840044283,tertiary,3,Not_Present_Value
Torrey Rd,Flint,Genesee,MI,Torrey Road,90,101083090,tertiary,2,Not_Present_Value
Centennial Ave,Cranford,Union,NJ,Centennial Avenue,90,54777898,secondary,Not_Present_Value,Not_Present_Value
Greenville Ave,Dallas,Dallas,TX,Greenville Avenue,90,1161541615,secondary,4,yes
Little Rd,Trinity,Pasco,FL,Little Road,90,284934099,primary,2,yes
S Pecos-La Trinidad,San Antonio,Bexar,TX,South Pecos-La Trinidad,90,15151099,secondary,3,yes
Curran Ln,Lafayette,Lafayette,LA,Curran Lane,90,12662307,tertiary,5,Not_Present_Value
Ellington Pkwy,Nashville,Davidson,TN,Ellington Parkway,90,1050205090,motorway,2,yes
Bannockburn Dr,Austin,Travis,TX,Bannockburn Drive,90,983438699,residential,3,no
Greenwald Ave,Perris,Riverside,CA,Greenwald Avenue,90,680296365,tertiary,Not_Present_Value,Not_Present_Value
Highway 12,San Andreas,Calaveras,CA,Highway 26,90,10307485,secondary,2,Not_Present_Value
Thomas Rd,Baton Rouge,East Baton Rouge,LA,Thomas Road,90,1084121993,secondary,Not_Present_Value,Not_Present_Value
Fulton Rd,Santa Rosa,Sonoma,CA,Fulton Road,90,681610758,secondary,Not_Present_Value,Not_Present_Value
Fenton Rd,Grand Blanc,Genesee,MI,Fenton Road,90,8662051,secondary,Not_Present_Value,Not_Present_Value
Deer Park Ave,North Babylon,Suffolk,NY,Deer Park Avenue,90,126285108,trunk,2,yes
Archibald Ave,Rancho Cucamonga,San Bernardino,CA,Archibald Avenue,90,475047678,secondary,4,Not_Present_Value
Hughes Rd,Madison,Madison,AL,Hughes Road,90,599381611,secondary,6,Not_Present_Value
Patterson Ave,Winchester,Riverside,CA,Patterson Avenue,90,7215923,track,2,Not_Present_Value
E Butler Pike,Ambler,Montgomery,PA,East Butler Pike,90,12386128,secondary,2,no
McKean Rd,Ambler,Montgomery,PA,McKean Road,90,12373885,tertiary,2,Not_Present_Value
San Bernardino Fwy,Los Angeles,Los Angeles,CA,San Bernardino Freeway,90,988237171,motorway,6,yes
Saint Ferdinand St,Baton Rouge,East Baton Rouge,LA,Saint Ferdinand Street,90,1245407703,secondary,3,Not_Present_Value
El Camino Ave,Sacramento,Sacramento,CA,El Camino Avenue,90,1041055515,secondary,Not_Present_Value,yes
Dessau Rd,Pflugerville,Travis,TX,Dessau Road,90,1076060249,primary,3,yes
Barnes Rd,Laurens,Laurens,SC,Barnes Road,90,12471343,residential,Not_Present_Value,Not_Present_Value
E National Cemetery Rd,Florence,Florence,SC,East National Cemetery Road,90,12387204,tertiary,2,Not_Present_Value
Tri-State Tlwy,Melrose Park,Cook,IL,Tri-State Tollway,90,1033733884,motorway,2,yes
Sawyer Rd,Tampa,Hillsborough,FL,Sawyer Road,90,1082057824,residential,Not_Present_Value,Not_Present_Value
Bruce R Watkins Dr,Kansas City,Jackson,MO,Bruce R. Watkins Drive,90,560913896,motorway,3,yes
Veterans Memorial Blvd,Metairie,Jefferson,LA,Veterans Memorial Boulevard,90,597021042,primary,3,yes
Manhattan Ave,Jersey City,Hudson,NJ,Manhattan Avenue,90,887878883,tertiary,Not_Present_Value,Not_Present_Value
Senoia Rd,Fairburn,Fulton,GA,Senoia Road,90,42004324,primary,2,yes
Armour Rd,Kansas City,Clay,MO,Armour Road,90,522416638,trunk,3,yes
Gilmer Rd,Lake Zurich,Lake,IL,Gilmer Road,90,722429782,tertiary,Not_Present_Value,Not_Present_Value
Los Altos Pkwy,Sparks,Washoe,NV,Los Altos Parkway,90,481880739,secondary,2,yes
Jefferson Ave,Newport News,Newport News,VA,Jefferson Avenue,90,305323944,primary,4,Not_Present_Value
Reaves Rd,Kissimmee,Osceola,FL,Reaves Road,90,11181721,tertiary,2,Not_Present_Value
Lily Pond Ave,Staten Island,Richmond,NY,Lily Pond Avenue,90,993565575,secondary,2,yes
Windward Pkwy,Alpharetta,Fulton,GA,Windward Parkway,90,541193214,secondary,4,yes
Jefferson Davis Hwy,Beech Island,Aiken,SC,Jefferson Davis Highway,90,202624033,trunk,2,yes
Winget Rd,Charlotte,Mecklenburg,NC,Winget Road,90,16665638,residential,2,Not_Present_Value
Three Palms Dr,Hacienda Heights,Los Angeles,CA,Three Palms Drive,90,405365447,secondary,Not_Present_Value,Not_Present_Value
Benson Rd,Garner,Wake,NC,Benson Road,90,884579488,secondary,3,yes
Tri-State Tlwy,Alsip,Cook,IL,Tri-State Tollway,90,771231418,motorway,4,yes
Far Hills Ave,Dayton,Montgomery,OH,Far Hills Avenue,90,163684778,primary,Not_Present_Value,Not_Present_Value
Manzanita Ave,Carmichael,Sacramento,CA,Manzanita Avenue,90,1055739446,primary,Not_Present_Value,yes
Hermitage Ave,Nashville,Davidson,TN,Hermitage Avenue,90,967402666,primary,4,Not_Present_Value
Richmond Pkwy,Richmond,Contra Costa,CA,Richmond Parkway,90,780244596,trunk,2,yes
Sudley Rd,Manassas,Prince William,VA,Sudley Road,90,687108490,primary,3,yes
Inwood Rd,Dallas,Dallas,TX,Inwood Road,90,1065465878,secondary,3,yes
Tiogawoods Dr,Sacramento,Sacramento,CA,Tiogawoods Drive,90,1220371585,residential,Not_Present_Value,Not_Present_Value
Reeder Rd,Dallas,Dallas,TX,Reeder Road,90,1066438543,unclassified,Not_Present_Value,Not_Present_Value
Lahser Rd,Southfield,Oakland,MI,Lahser Road,90,422020571,secondary,7,Not_Present_Value
E Lincoln Way,Sparks,Washoe,NV,East Lincoln Way,90,443824785,secondary,Not_Present_Value,Not_Present_Value
Deerfield Pkwy,Buffalo Grove,Lake,IL,Deerfield Parkway,90,1079696784,secondary,2,yes
Firestone Pkwy,La Vergne,Davidson,TN,Firestone Parkway,90,19453980,residential,Not_Present_Value,Not_Present_Value
N Interstate 45 Service Rd,Hutchins,Dallas,TX,North Interstate 45 Service Road,90,10012467,secondary,2,yes
Alta Sierra Dr,Grass Valley,Nevada,CA,Alta Sierra Drive,90,10474884,secondary,Not_Present_Value,Not_Present_Value
Wilson Rd,Newberry,Newberry,SC,Wilson Road,90,189303360,primary,4,Not_Present_Value
Oak Knoll Ave,Napa,Napa,CA,Oak Knoll Avenue,90,7702553,tertiary,Not_Present_Value,Not_Present_Value
McNeil Merriltown Rd,Austin,Travis,TX,McNeil-Merriltown Road,90,15396115,unclassified,2,Not_Present_Value
Suncoast Pkwy,Land O Lakes,Pasco,FL,Suncoast Parkway,90,147097192,motorway,2,yes
Gibson Rd,Everett,Snohomish,WA,Gibson Road,90,6126231,tertiary,Not_Present_Value,Not_Present_Value
Tri-State Tlwy,Western Springs,Cook,IL,Tri-State Tollway,90,89909157,motorway,5,yes
President George Bush Tpke N,Grand Prairie,Dallas,TX,President George Bush Turnpike,90,282594316,motorway,2,yes
Milton Rd,Charlotte,Mecklenburg,NC,Milton Road,90,1164378375,tertiary,Not_Present_Value,yes
Excelsior Ave,Hanford,Kings,CA,Excelsior Avenue,90,684798231,tertiary,Not_Present_Value,Not_Present_Value
Four Points Dr,Austin,Travis,TX,Four Points Drive,90,1078533189,tertiary,2,yes
Durant Rd,Raleigh,Wake,NC,Durant Road,90,1196297883,primary,5,Not_Present_Value
Stone Mountain Fwy,Tucker,DeKalb,GA,Stone Mountain Freeway,90,40617742,motorway,3,yes
University Ave,San Diego,San Diego,CA,University Avenue,90,436419761,secondary,Not_Present_Value,Not_Present_Value
Wanamaker Ave,Essington,Delaware,PA,Wanamaker Avenue,90,1230001123,primary,2,yes
Riverside Pkwy,Tulsa,Tulsa,OK,Riverside Parkway,90,235242693,primary,5,yes
Apothecary Dr,Zebulon,Wake,NC,Apothecary Drive,90,113103067,residential,Not_Present_Value,Not_Present_Value
Tyger River Dr,Duncan,Spartanburg,SC,Tyger River Drive,90,12545074,residential,2,Not_Present_Value
Archer Rd,Spartanburg,Spartanburg,SC,Archer Road,90,415607085,residential,Not_Present_Value,Not_Present_Value
Olde Birch Dr,Raleigh,Wake,NC,Olde Birch Drive,90,18894459,residential,Not_Present_Value,Not_Present_Value
Universal Studios Blvd,Los Angeles,Los Angeles,CA,Universal Studios Boulevard,90,1039348600,primary,3,yes
Technology Dr,Charlotte,Mecklenburg,NC,Technology Drive,90,648860963,tertiary,2,yes
McClelland Dr,Baton Rouge,East Baton Rouge,LA,McClelland Drive,90,876161946,tertiary,Not_Present_Value,Not_Present_Value
Louisiana Ave,Lafayette,Lafayette,LA,Louisiana Avenue,90,100937235,primary,Not_Present_Value,yes
Berlin Rd,Cromwell,Middlesex,CT,Berlin Road,90,658956534,secondary,Not_Present_Value,Not_Present_Value
Forest Ln,Garland,Dallas,TX,Forest Lane,90,1161800374,secondary,3,yes
Curlew Rd,Dunedin,Pinellas,FL,Curlew Road,90,1156790404,secondary,5,yes
Poindexter Dr,Charlotte,Mecklenburg,NC,Poindexter Drive,90,1051846774,residential,2,Not_Present_Value
Decoto Rd,Newark,Alameda,CA,Decoto Road,90,1049385768,trunk,2,yes
Sugarloaf Pkwy,Lawrenceville,Gwinnett,GA,Sugarloaf Parkway,90,251523849,primary,3,yes
Alum Rock Ave,San Jose,Santa Clara,CA,Alum Rock Avenue,90,417725373,primary,4,yes
Decoto Rd,Fremont,Alameda,CA,Decoto Road,90,6350998,trunk,3,yes
Struve Rd,Moss Landing,Monterey,CA,Struve Road,90,822652177,residential,Not_Present_Value,Not_Present_Value
Westgate Pkwy,Henrico,Henrico,VA,Westgate Parkway,90,20281859,unclassified,Not_Present_Value,Not_Present_Value
W Charter Way,Stockton,San Joaquin,CA,West Charter Way,90,740208951,trunk,4,yes
Hickory Hollow Ter,Antioch,Davidson,TN,Hickory Hollow Terrace,90,19454619,residential,2,Not_Present_Value
Morris Rd,Ambler,Montgomery,PA,Morris Road,90,1185297135,secondary,Not_Present_Value,Not_Present_Value
Rivergate Pkwy,Charlotte,Mecklenburg,NC,Rivergate Parkway,90,1066026118,unclassified,Not_Present_Value,yes
Montgomery Ave,Bryn Mawr,Montgomery,PA,Montgomery Avenue,90,12373564,primary,Not_Present_Value,no
Auto Mall Pkwy,Fremont,Alameda,CA,Auto Mall Parkway,90,31433678,primary,3,yes
Luther Rd,Auburn,Placer,CA,Luther Road,90,10485455,tertiary,Not_Present_Value,Not_Present_Value
Randy Pap� Beltline W,Eugene,Lane,OR,Randy Papé Beltline,90,953932204,motorway,2,yes
W Miracle Mile,Tucson,Pima,AZ,West Miracle Mile,90,667082706,trunk,2,yes
Briggs Rd,Menifee,Riverside,CA,Briggs Road,90,1247070806,unclassified,4,Not_Present_Value
Fitzgerald Dr,Pinole,Contra Costa,CA,Fitzgerald Drive,90,23633946,secondary,2,yes
Kenilworth Ave,Capitol Heights,Prince George's,MD,Kenilworth Avenue,90,920879232,secondary,1,yes
Arlington Ave,Riverside,Riverside,CA,Arlington Avenue,90,474690838,primary,7,Not_Present_Value
Bellegrave Ave,Mira Loma,Riverside,CA,Bellegrave Avenue,90,35084590,secondary,2,Not_Present_Value
Fairfields Ave,Baton Rouge,East Baton Rouge,LA,Fairfields Avenue,90,582254067,tertiary,2,Not_Present_Value
Synott Rd,Houston,Harris,TX,Synott Road,90,934195231,tertiary,Not_Present_Value,yes
Lapeer Rd,Burton,Genesee,MI,Lapeer Road,90,128687449,secondary,Not_Present_Value,Not_Present_Value
Patterson Ave,Henrico,Henrico,VA,Patterson Avenue,90,846601510,primary,2,yes
Pearce Ln,Del Valle,Travis,TX,Pearce Lane,90,711640140,secondary,2,Not_Present_Value
Loucks Rd,York,York,PA,Loucks Road,90,481901125,trunk,3,yes
Hackensack Ave,Kearny,Hudson,NJ,Hackensack Avenue,90,420902890,unclassified,3,yes
Honeywood Ave,Charlotte,Mecklenburg,NC,Honeywood Avenue,90,270764613,residential,Not_Present_Value,Not_Present_Value
Fort Worth Dr,Denton,Denton,TX,Fort Worth Drive,90,1029563480,primary,4,yes
Pine Knoll Dr,Greenville,Greenville,SC,Pine Knoll Drive,90,244626553,primary,4,yes
